Key;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
1;;;;;;;;;;
2;;;;;;;;;;
3;;;;;;;;;;
4;;;;;;;;;;
5;;;;;;;;;;
6;;;;;;;;;;
7;;;;;;;;;;
8;;;;;;;;;;
9;;;;;;;;;;
10;1;;;;;;;;;
11;;;;;;;;;;
12;;;;;;;;;;
13;1;4;;;;;;;;
14;;;;;;;;;;
15;1;;;;;;;;;
16;1;;;;;;;;;
17;1;;;;;;;;;
18;1;;;;;;;;;
19;1;;;;;;;;;
20;1;;;;;;;;;
21;;;;;;;;;;
22;;;;;;;;;;
23;;;;;;;;;;
24;2;3;4;;;;;;;
25;2;;;;;;;;;
26;;;;;;;;;;
27;;;;;;;;;;
28;;;;;;;;;;
29;;;;;;;;;;
30;;;;;;;;;;
31;;;;;;;;;;
32;;;;;;;;;;
33;2;3;;;;;;;;
34;2;3;;;;;;;;
35;;;;;;;;;;
36;2;3;;;;;;;;
37;;;;;;;;;;
38;7;8;;;;;;;;
39;;;;;;;;;;
40;;;;;;;;;;
41;2;3;;;;;;;;
42;2;3;;;;;;;;
43;2;3;;;;;;;;
44;2;3;;;;;;;;
45;2;3;;;;;;;;
46;2;3;;;;;;;;
47;2;3;;;;;;;;
48;2;3;;;;;;;;
49;2;3;;;;;;;;
50;2;3;;;;;;;;
51;2;3;;;;;;;;
52;4;;;;;;;;;
53;;;;;;;;;;
54;3;4;;;;;;;;
55;3;4;5;;;;;;;
56;3;;;;;;;;;
57;;;;;;;;;;
58;2;3;;;;;;;;
59;3;4;;;;;;;;
60;3;4;;;;;;;;
61;3;4;;;;;;;;
62;4;;;;;;;;;
63;3;;;;;;;;;
64;3;;;;;;;;;
65;;;;;;;;;;
66;;;;;;;;;;
67;;;;;;;;;;
68;3;;;;;;;;;
69;3;;;;;;;;;
70;;;;;;;;;;
71;;;;;;;;;;
72;3;;;;;;;;;
73;;;;;;;;;;
74;;;;;;;;;;
75;;;;;;;;;;
76;;;;;;;;;;
77;;;;;;;;;;
78;4;;;;;;;;;
79;4;5;6;;;;;;;
80;4;;;;;;;;;
81;;;;;;;;;;
82;5;6;;;;;;;;
83;5;;;;;;;;;
84;5;;;;;;;;;
85;9;;;;;;;;;
86;6;;;;;;;;;
87;5;;;;;;;;;
88;4;5;;;;;;;;
89;5;;;;;;;;;
90;5;;;;;;;;;
91;5;;;;;;;;;
92;3;4;;;;;;;;
93;3;4;;;;;;;;
94;6;;;;;;;;;
95;8;;;;;;;;;
96;6;;;;;;;;;
97;6;;;;;;;;;
98;6;;;;;;;;;
99;9;;;;;;;;;
100;;;;;;;;;;
101;;;;;;;;;;
102;6;;;;;;;;;
103;6;;;;;;;;;
104;;;;;;;;;;
105;;;;;;;;;;
106;6;;;;;;;;;
107;6;7;;;;;;;;
108;7;;;;;;;;;
109;7;;;;;;;;;
110;6;;;;;;;;;
111;7;;;;;;;;;
112;;;;;;;;;;
113;7;8;;;;;;;;
114;11;;;;;;;;;
115;9;;;;;;;;;
116;9;;;;;;;;;
117;9;;;;;;;;;
118;9;;;;;;;;;
119;;;;;;;;;;
120;11;12;;;;;;;;
121;7;;;;;;;;;
122;7;8;9;;;;;;;
123;7;;;;;;;;;
124;7;;;;;;;;;
125;7;8;9;;;;;;;
126;;;;;;;;;;
127;8;;;;;;;;;
128;8;;;;;;;;;
129;9;;;;;;;;;
130;9;;;;;;;;;
131;33;;;;;;;;;
132;14;15;16;17;18;;;;;
133;9;;;;;;;;;
134;8;;;;;;;;;
135;;;;;;;;;;
